Food_Name,Overview,Type,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Source,Diabetes_Score,Diabetes_Reason,Carbohydrate_content,Source,Hyperlipidimia_Score,Hyperlipidemia_Reason,Source,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason_,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,"Gut_Superfood_or_Fermented_food_=_1,_else_0",Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,Healthier_alternatives,
Longbean,"Longbeans have a cholesterol-lowering effect due to their high fibre content. Longbeans are a source of potassium which lowers blood pressure, reducing the risk of heart disease.",4,5,Longbean up to 75g is low FODMAP.,Y,Not only are longbeans low energy dense but they are also packed with fibre. The high fibre content and low calorie content make longbeans filling vegetables that help reduce energy intake and subsequently lose weight.,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103337/nutrients,5,"Rich in fibre, long beans could help lower blood glucose levels by delaying absorption of glucose into the bloodstream.","1 cup (104 g) / serv

CHO = 9.55 g = 0.6 ex","https://www.ncbi.nlm.nih.gov/books/NBK559033/
https://pubmed.ncbi.nlm.nih.gov/11858448/",5,Legumes have demonstrated potential cholesterol-lowering effects in studies.,https://pubmed.ncbi.nlm.nih.gov/19825218/,5,Sodium per serv = 4.16 mg,5,1,"Legumes such as longbeans provide a source of tryptophan, which is converted to serotonin and GABA.",1,Fermentable inulin in longbeans increase levels of SCFA producing Bifidobacterium.,1,"Legumes, which includes longbeans, are associated with reduced risk of liver cancer in two human studies.",1,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Longbean
Broccoli
Cauliflower
Okra
Broad Bean","Lunch
Dinner",,,
Lotus Seed,"Lotus seeds are a source of potassium which helps to lower blood pressure and consequently the risk of heart disease. Lotus seeds also contain resistant starch that feeds our gut bacteria, sustaining the population of beneficial gut bacteria.",4,3,Lotus seed is untested for FODMAP.,Y,"Bioactive compounds in lotus seeds inhibit the accumulation of body fat, preventing weight gain.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269573/,5,The resistant starches in lotus seeds have shown in animal studies to have an hypoglycemic effect.,"1 cup (32 g) / serv

CHO = 20.54 g = 1.4 ex",https://pubmed.ncbi.nlm.nih.gov/29853397/,5,Lotus seeds may improve blood lipid profile by inhibiting fat accumulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269573/,5,Sodium per serv = 1.63 mg,5,1,Alkaloid compounds in lotus seed demonstrated anti-depressant and anti-anxiety effects in laboratory animal studies.,1,Preliminary research indicates that resistant starch in lotus seed may increase butyrate production.,1,"Flavonoid antioxidants in lotus seed may offer liver-protective benefits and prevent liver inflammation, according to laboratory animal studies. By supporting liver health, lotus seed helps ensure that the liver is capable of producing an adequate supply of bile.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Broad Bean
Soybean
Lima Bean
Black Bean
Sesame Seed","Lunch
Dinner",,,
Lychee,Lychees are a good source of potassium and vitamin C which helps lower blood pressure. They are also a source of fibre which supports weight loss and slows glucose absorption. ,1,1,Lychee is high in FODMAP.,Y,Phenolics in lychee may inhibit the accumulation of fat in the liver.,https://pubmed.ncbi.nlm.nih.gov/28121324/,1,Procyanidins in lychee pulp may improve glucose metabolism in the liver and muscles by regulating the glucose transport system.,"1 cup (130 g) / serv

CHO = 66.43 g = 4.42 ex",https://sci-hub.se/10.1111/1541-4337.12590,5,Lychee decreases LDL cholesterol and increases HDL cholesterol.,https://sci-hub.se/10.1111/1541-4337.12590,5,Sodium per serv = 1.61 mg,5,1,"Lychee provides a high 71.5mg of vitamin C per 100g, vitamin C is needed for producing serotonin.",1,"Phenolic antioxidants in lychee alleviate dysbiosis, promoting increased production of butyrate.",1,"Lychee protects the liver from degenerative fatty deposits, thereby promoting healthy bile production.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Plum
Persimmon
Pomegranate
Watermelon","Breakfast
Snack",,,
Macadamia,"Rich in heart-healthy monounsaturated fats, macadamia nuts reduce the risk of heart disease and stroke. Macadamia nuts are also a source of iron which is vital for red blood cell production.",4,5,Macadamia has low FODMAP.,N,"Palmitoleic acid in macadamia nuts has been shown to help lower body weight as well as body mass index. However, it is also an energy-dense nut. It results in excessive energy intake if not eaten in moderation.",https://pubmed.ncbi.nlm.nih.gov/15649284/,5,Soluble fibre helps to slow the absorption of glucose into the bloodstream.,"1 cup (145 g) / serv

CHO = 6.53 g = 0.43 ex",https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fiber/art-20043983,3,Monounsaturated fats in macadamia nuts have been found to lower LDL (bad) cholesterol levels in adults with elevated cholesterol.,https://pubmed.ncbi.nlm.nih.gov/18356332/,5,Sodium per serv = 4.35 mg,5,1,Macadamia nuts do contain some serotonin.,1,Gut bacteria have been found to utilize macadamia nuts for energy and help produce butyrate.,1,Eating macadamia nuts promotes gall bladder health and reduces risk for gall bladder stones by preventing cholesterol buildup.,1,Nuts,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Almonds
Brazil Nut
Pistachio
Peanut
Pecan","Breakfast
Snack",,,
Mango,Mango's fibre and polyphenol catechin improve blood lipid profiles and blood glucose control. Mango is also nutrient dense which aids with weight loss.,1,1,Mango is high in FODMAP.,Y,Mango may increase the population of Akkermansia Muciniphila bacteria in our gut which is associated with healthy weight.,https://pubmed.ncbi.nlm.nih.gov/27358411/,5,"Mango has a lower glycemic effect than white bread, according to one study, and it has been shown to reduce blood glucose levels and hba1c levels when consumed in moderation.","1 whole (232 g) / serv

CHO = 20.94 g = 1.39 ex",https://sci-hub.se/10.1016/j.dsx.2020.01.014,5,Mango phenolic antioxidants have protective effects against arterial plaque formation by improving the beneficial ratios of protein portion of cholesterol molecules.,https://pubmed.ncbi.nlm.nih.gov/30187493/,5,Sodium per serv = 10.39 mg,5,1,"Mango is a source of vitamin B6 and C, both of which are used to make serotonin and GABA.",1,Mango consumption improved the activity of gut bacteria in a study of postmenopausal women.,1,The antioxidative effects of mango protect the liver against oxidative damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Lychee
Peach
Soursop","Breakfast
Snack",,,
Mangosteen,"Mangosteen's fibre works wonders in reducing blood pressure and slowing glucose absorption. Additionally, the fibre helps with weight loss.",1,5,Mangosteen is low FODMAP.,Y,"Polyphenol mangostin can inhibit growth of fat cells, reducing body fat storage and weight gain.",https://sci-hub.se/10.1002/ptr.5862,5,"Mangosteen contains phenolic antioxidant compounds called xanthones, which improve blood sugar control.","1 whole (69.2 g) / serv

CHO = 0.93 g = 0.062 ex",https://pubmed.ncbi.nlm.nih.gov/28656594/,5,Preliminary studies show that mangosteen prevents elevated cholesterol.,https://sci-hub.se/10.1002/ptr.5862,5,Sodium per serv = 1.16 mg,5,1,Alpha-mangostin found in mangosteen raised serotonin and GABA levels in a mice study.,1,Mangosteen increases numbers and improves ratios of butyrate-producing gut bacteria.,1,"Mangosteen has liver-protective benefits, which helps ensure healthy bile production.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Grape
Papaya
Pineapple
Rambutan
Jackfruit","Breakfast
Snack",,,
Mee Goreng,"Mee goreng has little fibre but a lot of carbohydrates and fat, making it unsuitable for weight loss and diabetic diets. Additionally, it has a lot of salt which promotes high blood pressure, a risk of many heart diseases.",0,1,Mee goreng has high FODMAP.,N,"Mee goreng is fried with a great amount of oil, making it rich in fat and energy. This high energy dense dish would not be suitable for weight loss.",https://focos.hpb.gov.sg/eservices/ENCF/,1,Mee goreng is cooked with a small amount of vegetables and yellow noodles made with refined flour. Consuming less vegetables and more refined carbohdyrates has been associated with greater type 2 diabetes and prediabetes risk.,"1 plate (170 g) / serv

CHO = 40.63 g = 2.7 ex","https://pubmed.ncbi.nlm.nih.gov/15113714/
https://pubmed.ncbi.nlm.nih.gov/29204690/",1,"Like fried food, mee goreng could elevate blood cholesterol levels due to its high fat content.","https://pubmed.ncbi.nlm.nih.gov/34253560/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3265571/",1,Sodium per serv = 1111.8 mg,1,-1,Mee goreng may reduce blood flow in the brain and promote oxidative damage to the brain.This would reduce cognitive functioning.,-1,The frying process creates trans fatty acids which disrupts the balance of bacteria in the gut microbiome. This imbalance reduces the amount of SCFA produced.,-1,The high sodium content of mee goreng would be harmful for liver heath. Consuming large amounts of sodium has been associated with liver fibrosis and fatty liver disease.,0,"Soy
Egg
Shellfish","Halal
Pescetarian","Char Kway Teow
Fried Mee Siam","Breakfast
Lunch
Dinner","Yakisoba
Mee rebus
Mee soto","Chapati
Paper Thosai
Chickpea Curry",
Minestrone Soup,"Minestrone is a great source of fibre as it is full of vegetables. Due to the wide variety of vegetables used, it also provides many minerals and vitamins. Homemade minestrone tends to be lower in sodium, and can also be made low in fat, making it a healthy dish overall.",5,1,Minestrone soup has high FODMAP.,Y,Fibre from vegetables makes the soup feel more filling and stave off hunger.,https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,5,"Minestrone is a good source of fibre as it is packed with vegetables. Homemade minestrone can also be made with less salt to lower sodium. Fibre helps with blood glucose control, and lower sodium content prevents hypertension which is a risk factor of diabetes.","1 cup (260 g) / serv

CHO = 13 g = 0.9 ex","https://www.healthhub.sg/live-healthy/886/diabetes-diet-and-lifestyle
https://www.healthhub.sg/live-healthy/1128/diabetes-are-you-at-risk",5,"Minestrone can be cholesterol-lowering due to its high fiber content from vegetables, beans, and spices such as garlic and onions.",https://www.mayoclinic.org/healthy-lifestyle/recipes/minestrone-soup/rcp-20049680,4,Sodium per serv = 520 mg,4,1,"Polyphenols in vegetables encourage the growth of lactic acid bacteria, of which many strains are GABA-producing bacteria.",1,Polyphenols and fibres of vegetables feed healthy gut bacteria and promote the production of SCFA.,1,Vegatable fibres help lower cholesterol levels while vegetable phytochemical antioxidants protect the heart and liver from oxidative stress.,0,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan",Celery,"Lunch
Dinner",,,
Moringa,"Drumstick vegetable is packed with fibre which supports weight loss and improve glucose metabolism. It is also rich in blood pressure-lowering potassium, protecting heart health.",2,3,Moringa in untested for FODMAP levels.,Y,Isothiocynates in drumstick vegetable appear to have anti-obesity effects.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4456298/,5,Drumstick vegetables leaves lower blood sugar levels by inhibiting the conversion of complex carbohydrates to absorbable sugars.,"1/2 cup (59.7 g) / serv

CHO =  2.45 g = 0.16 ex",https://pubmed.ncbi.nlm.nih.gov/31429148/,5,Drumstick vegetable were found to lower total and LDL cholesterol levels while elevating HDL cholesterol levels in rabbits.,https://pubmed.ncbi.nlm.nih.gov/12738086/,5,Sodium per serv = 2 mg,5,1,The seed oil of drumstick vegetable was found to raise GABA levels in mice.,1,"Drumstick vegetable leaf extract raised levels of Bifidobacteria and Lactobacilli, improving SCFA production.",1,Drumstick vegetable extracts are suggested to have hepatoprotective and anti-cancer benefits.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Okra
Longbean
French bean
Celery
Brussel Sprout","Lunch
Dinner",,,
Mung Bean Sprout,Mung bean sprouts are a great source of fibre and potassium which is great for weight loss and heart health. It also packs a decent amount of manganese which is involved in the synthesis of GABA.,4,5,Mung bean sprout is low FODMAP.,Y,"While mung bean extract did not reduce body weight, it was found to reduce body fat in mice.",https://pubmed.ncbi.nlm.nih.gov/25826234/,5,Mung bean sprout extracts lower blood glucose and raise insulin levels in a study of diabetic mice.,"1 cup (109.56 g) / serv

CHO = 4.59 g = 0.3 ex",https://pubmed.ncbi.nlm.nih.gov/18767859/,5,Bean sprouts have been found to lower cholesterol and triglyceride levels.,https://pubmed.ncbi.nlm.nih.gov/26787977/,5,Sodium per serv = 10.96 mg,5,1,Extracts of mung bean sprouts are abundant in naturally occuring GABA.,1,"Fibre in mung bean sprouts increases levels of SCFA in the gut, such as butyrate and acetate, in a study of rats.",1,Bean sprouts have resistant starches that can be fermented by gut bacteria to produce SCFA. Higher levels of intestinal SCFA may have cardioprotective benefits.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Soybean Sprout
Leek
Longbean
French Bean
Watercress","Lunch
Dinner",,,
Nasi Goreng,"Nasi goreng has little vegetables and fibre, and a load of saturated fat. Saturated fat would raise blood lipid and cholesterol levels, increasing the risk of heart disease.",0,1,Nasi goreng has high FODMAP.,N,"Nasi goreng is cooked with a generous amount of oil, little to no vegetables and refined white rice. Because nasi goreng is so energy dense, it is not fit for weight loss.",https://pubmed.ncbi.nlm.nih.gov/22480489/,1,"In human studies, eating little vegetables and more refined grains is associated with greater risk of diabetes.","1 plate (377 g) / serv

CHO = 102.92 g = 6.9 ex","https://pubmed.ncbi.nlm.nih.gov/29204690/
https://pubmed.ncbi.nlm.nih.gov/24158434/",1,White rice and a small amount of vegetables offer little fibre. Lack of dietary fibre could result in higher blood cholesterol levels. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6566984/,1,Sodium per serv = 1466.53 mg,1,-1,"Consuming fried food, such as nasi goreng, has been associated with greater risk of depression.",-1,"High consumption of refined grains, like white rice, is associated with a less diverse and abundant gut microbiome, and likely lower SCFA levels.",1,"Fried food promote the production of bile but causes bile to have a thick, sluggish consistency that is prone to forming gallstones.",0,Egg,"Halal
Lacto-ovo-vegetarian 
Ovo-vegetarian","Egg Prata
Mee Goreng
Chicken Briyani","Breakfast
Lunch
Dinner","Chicken rice
Economy rice","Chapati
Paper Thosai
Chickpea Curry",
Natural Yoghurt,"Yoghurt is rich in calcium and phosphorus, minerals crucial for bone building. Yoghurt is also a probiotic, promoting a balanced and diverse gut microbiome.",4,1,Natural yoghurt is high FODMAP.,Y,"In a study of adults with metabolic syndrome, yogurt consumption led to an average weight loss of 4.3 kg over 10 weeks.",https://pubmed.ncbi.nlm.nih.gov/29724529/,5,"Yoghurt consumption has been associated with lower risk of type 2 diabetes, as a probiotic it may alter glucose metabolism in a favourable manner.","1 cup (150 g) / serv

CHO = 7.05 g = 0.47 ex",https://pubmed.ncbi.nlm.nih.gov/28615384/,5,Yoghurt has been associated with greater HDL cholesterol levels.,https://pubmed.ncbi.nlm.nih.gov/12209372/,5,Sodium per serv = 82.5 mg,5,1,Yoghurt contains good bacteria which helps produce GABA and serotonin in our gut.,1,Yoghurt supports the population of SCFA producing bacteria and helps increase propionate and butyrate.,1,"Yogurt has liver-protective benefits, thereby supporting healthy bile production.",1,Lactose,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian","Beef Steak
Salmon
Prawn
Herbal Chicken Tonic
Soybean","Breakfast
Snack","Lassi
Kefir
Yakult/ vitagen
Milk
Greek yogurt",,
Oat,"Oats are rich in soluble fibre which promotes the growth of beneficial bacteria in the gut microbiome, preventing constipation and inflammation of the gut lining. Oat fibre also supports heart health by lowering blood cholesterol levels.",0,5,Oat is low FODMAP.,Y,Oats are high in fibre which keep you full longer hence promoting weight loss.,https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,5,Oats consumption resulted in significant improvement in fasting glucose and insulin levels in a clinical study.,"1 cup (260 g) / serv

CHO = 26.52 g = 1.8 ex

Wholegrain
Considered a Meal",https://pubmed.ncbi.nlm.nih.gov/26545667/,5,Beta-glucan fiber in oats can significantly lower LDL cholesterol without impacting HDL levels.,https://europepmc.org/article/med/7956987,5,Sodium per serv = 2.6 mg,5,1,Oats are high in tryptophan an important amino acid for serotonin production.,1,"Oat soluble fiber promotes the health of beneficial gut bacteria, which leads to increased production of butyrate.",1,"Soluble fibre reduces levels of TMAO, a metabolite made by our gut bacteria. Elevated levels of it has been associated with greater risks of cardiovascular diseases, type 2 diabetes, and obesity.",1,Gluten,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Brown Rice
Wholegrain Cereal","Breakfast
Snack","Quinoa
Millet
Amaranth",,
Okra,Soluble fiber and quercetin in okra nourish the gut microbiome and reduce inflammation. Quercetin may also confer neuroprotective benefits against Alzheimer's disease.,2,5,Okra up to 60g is low FODMAP.,Y,Quercetin-3-o-gentibioside in okra may lower energy intake by inhibiting fat and carbohydrate digestive enzymes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7865958/,5,Abscisic acid in okra is suggested to have blood sugar lowering effects. ,"8 whole okra (84.8 g) / serv

CHO = 3.84 g = 0.26 ex",https://pubmed.ncbi.nlm.nih.gov/31282220/,5,Okra inhibits fat production in the liver and promotes breakdown of cholesterol.,https://pubmed.ncbi.nlm.nih.gov/23606408/,5,Sodium per serv = 5.12 mg,5,1,"Okra polysaccharides may have antidepressive effects through modulation of the gut microbiome, and increasing the production of SCFA.",1,Okra is high in pectin which is metabolised by gut bacteria to produce SCFA.,1,"Okra has bile acid binding properties, which promotes the excretion of bile acids followed by the production of fresh bile.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Cucumber
Red Capsicum
Tomato
Shiitake Mushroom","Lunch
Dinner",,,
Packham Pear,"Pears provide fibre, making it great for weight loss and lowering blood cholesterol. The fibre also helps slow glucose absorption and nourish the gut bacteria.",1,1,Packham pear is high FODMAP.,Y,"In a study of 49 overweight women, pears were associated with reduction in body weight.",https://pubmed.ncbi.nlm.nih.gov/18439712/,5,"In a study of overweight women, those who added pears to their diet had a significantly greater decrease in fasting blood sugar compared to those who added oat cookies.","1 whole (235 g) / serv

CHO = 20.3 g = 1.4 ex",https://pubmed.ncbi.nlm.nih.gov/12620529/,5,Pear consumption increases antioxidant levels which decreases oxidation of cholesterol into dangerous forms associated with arterial plaque formation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4657810/,5,Sodium per serv = 4.23 mg,5,1,"Pears have many active compounds such as flavonoids, triterpenoids, phenolic acids, arbutin, chlorogenic acid, and malaxinic acid.",1,Pears may promote the growth of Bacteriodetes which produces SCFA proppionate.,1,"Pears are high in fibre and many phytochemicals. However, they are also a source of fructose and sorbitol. Excessive intake of fructose would impact the development of liver disease.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Persimmon
Pomegranate
Soursop","Breakfast
Snack",,,
Pad Thai,"Pad thai would elevate cholesterol levels and blood pressure due to its high fat and sodium content, subsequently increasing the risk for cardiovascular diseases. High blood pressure and cholesterol are also risk factors for obesity.",0,1,Pad thai has high FODMAP.,N,A portion of pad thai has about 850kcals and 45g of fat. Overeating of calories and fat can cause weight gain.,https://focos.hpb.gov.sg/eservices/ENCF/,1,"Pad thai noodles can be high in fat, sugar and carbohydrates. People with diabetes should only eat pad thai in moderation.","1 plate (404 g) / serv

CHO = 66.26 g = 4.4 ex",https://focos.hpb.gov.sg/eservices/ENCF/,1,Pad thai can be high in saturated fat and hence it is best to cook it with a heart healthy oil.,https://focos.hpb.gov.sg/eservices/ENCF/,1,Sodium per serv = 2464.4 mg,1,1,"Bean sprouts, which are normally added to pad thai, are a source of GABA. ",-1,This dish may be cooked with excessive fat and sugar and hence may cause gut dysbiosis.,-1,"This dish is high in saturated fat and cholesterol, which impairs liver function resulting in the inability to produce sufficient amounts of bile and production of poor quality bile.",0,"Fish
Shellfish
Soy
Nuts","Halal
Pescetarian","Char Kway Teow
Fried Mee Siam","Breakfast
Lunch
Dinner","Kway chap
Japchae
Thai boat noodles","Lentil with Rice
Chicken Quinoa Salad with Vegetables
Brown Rice Noodle
Chickpea Curry",
Papaya,Papaya's antioxidants lycopene and vitamin C possesses heart-protective effects. Papaya is also a source of fibre which supports weight loss.,1,5,Papaya is low FODMAP.,Y,Papaya may reduce body fat storage.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7412661/,5,Papaya might have hypoglycemic effects that reduces the risk of diabetes.,"1 slice (225 g) / serv

CHO = 15.53 g = 1 ex",https://pubmed.ncbi.nlm.nih.gov/34109525/,5,Papaya has been found to lower cholesterol levels in animal research.,https://pubmed.ncbi.nlm.nih.gov/32802327/,5,Sodium per serv = 15.75 mg,5,1,"Papaya has naturally occurring serotonin. Furthermore, its fibres encourage the growth of lactic acid bacteria, of which many strains produce GABA.",1,"Papaya polysaccharides are fermented by gut bacteria, which increases production of butyrate.",1,"Papaya protects and improves liver health by reducing inflammation in the liver, preventing fatty deposits, and increasing antioxidant status, which helps ensure healthy bile production.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Passionfruit
Banana
Honeydew
Rambutan
Durian","Breakfast
Snack",,,
Paper Thosai,Thosai or Dosa is a delicious fermented flat bread which contains beneficial probiotics. ,0,5,Paper thosai is low FODMAP.,Y,Paper thosai that is cooked with excessive fat may lead to weight gain.,https://focos.hpb.gov.sg/eservices/ENCF/,3,"Fibre slows the absorption of sugar into the bloodstream. Additionally, fenugreek, used to flavor thosai, has blood sugar-lowering benefits.","1 slice (50 g) / serv

CHO = 22.9 g = 1.5 ex",https://pubmed.ncbi.nlm.nih.gov/22329631/,5,"Fiber from dhal can help lower cholesterol levels. Ghee, in laboratory experiments, has cholesterol lowering effects. White rice may contribute to elevated cholesterol levels due to its glycemic effects.",https://pubmed.ncbi.nlm.nih.gov/22131700/,5,Sodium per serv = 218.5 mg,3,1,"Lentil used to make thosai contains tryptophan, which is converted into serotonin.",1,"Dhal and fenugreek contain saponin compounds. Dhal saponins have an inhibitory effect on Lactobacillus species, which don't produce butyrate but serve as a supportive role for butyrate-producing bacteria. Fenugreek saponins increase levels of Bifidobacterium and Lactobacillus species, both of which support butyrate-producing bacterial species. White rice suppresses production of short chain fatty acids (SCFA), relatively.",1,"Fibre in dhal promotes liver health, which helps ensure healthy bile production. Fenugreek has been found to inhibit formation of cholesterol gallstones, according to laboratory animal research.",0,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan",Egg Prata ,"Breakfast
Lunch
Dinner","Plain prata
Murtabak
You tiao
Croissants",Chapati,
Passionfruit,"Passionfruit offers blood pressure-lowering potassium, and weight loss promoting fibre. Fibre also helps to improve blood glucose control. Passionfruit has iron as well, which is vital for the production of red blood cells.",1,5,"Passionfruit is low FODMAP, up to 23g.",Y,Just one passionfruit packs almost 2g of fibre which is known to aid weight loss.,"https://fdc.nal.usda.gov/fdc-app.html#/food-details/1102676/nutrients
https://pubmed.ncbi.nlm.nih.gov/31174214/",5,"Passionfruit has a low glycemic index, meaning it doesn't raise blood sugar excessively if eaten fresh and in moderation.","1 medium (35 g) / serv

CHO = 4.26 g = 0.28 ex",https://www.researchgate.net/publication/276419240_Glycemic_index_and_glycemic_load_of_tropical_fruits_and_the_potential_risk_for_chronic_diseases,5,"Passionfruit contains no cholesterol or saturated fat and is high in fiber, which reduces cholesterol levels.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7251050/,5,Sodium per serv = 5.1 mg,5,1,The stems and leaves of passionfruit have been shown to have antidepressive effects through encouraging the production of serotonin and dopamine.,1,"Passionfruit contains quercetin which may support the growth of healthy bacteria in our gut, promoting short chain fatty acid (SCFA) production.",1,Vanillic and ferulic acid in passionfruit have been shown to be liver-protective by preventing liver fibrosis.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Banana
Rambutan
Papaya
Pineapple
Strawberry","Breakfast
Snack",,,
Peach,"In addition to their fiber content, peaches are high in polyphenol which can improve gut health. Antioxidants in peaches lower cholesterol levels and reduce heart disease risk. ",1,1,Peach is high FODMAP.,Y,Peach may display antiobesity effects.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4090149/,5,"With a low glycemic index and load of 28 and 4 respectively, peaches are unlikely to cause spikes and blood sugar levels.","1 whole (138 g) / serv

CHO = 10.81 g = 0.7 ex",https://care.diabetesjournals.org/content/diacare/suppl/2008/09/18/dc08-1239.DC1/TableA2_1.pdf,5,Peach may prevent the formation of dangerous arterial plaque by inhibiting cholesterol oxidation.,https://pubmed.ncbi.nlm.nih.gov/25801980/,5,Sodium per serv = 2.48 mg,5,1,"Peach polyphenols might encourage the growth of Lactobacillus, many of which are GABA-producing bacteria.",1,Bioflavonoids in peaches are known to improve gut microbiota and promote increased butyrate production.,1,Peach polyphenols are found to have cardioprotective effects in an animal study.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Lychee
Peach
Mago","Breakfast
Snack",,,
Peanut,"Peanuts may improve blood lipid profiles due to its high unsaturated fat content. Peanuts are also packed with blood pressure lowering potassium and magnesium, reducing the risk of heart disease.",4,5,Peanut in portion of up to 28g is low FODMAP.,N,"Peanuts are high in fat, with more than 50% of calories coming from fat, but also high in fiber, providing 5.5g in 1 cup, which may help make them more filling and satiating and less prone to overconsumption.  However, it is also an energy-dense nut. It results in excessive energy intake if not eaten in moderation.",https://pubmed.ncbi.nlm.nih.gov/23827129/,5,Replacing some carbohydrate foods with peanuts has been found to improve blood sugar control in type 2 diabetics.,"1 portion (56 g) / serv

CHO = 3.09 g = 0.21 ex",https://pubmed.ncbi.nlm.nih.gov/30360498/,4,"In a clinical study, peanut consumption improved cholesterol levels in a group of men with elevated cholesterol.",https://pubmed.ncbi.nlm.nih.gov/20025830/,5,Sodium per serv = 2.18 mg,5,1,"The protein content in peanut is a source of tryptophan, which increases serotonin levels.",1,"Fibre, unsaturated fats, and polyphenol antioxidants in peanuts promote healthy gut bacteria and increased production of butyrate.",1,Consumption of peanuts and other nuts are significantly associated with a lower risk of gallstone disease.,1,Nuts,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Almonds
Brazil Nut
Pistachio
Macadamia
Pecan","Breakfast

Snack",,,
Pecan,Pecans offer soluble fibres which support the population of beneficial bacteria in our gut microbiome. They also contribute to good heart health with its high unsaturated fat content.,4,5,Pecan of up to 20g is low FODMAP.,N,"Daily consumption of pecans may help increase energy metabolism and hence aid with fat and weight loss.  However, it is also an energy-dense nut. It results in excessive energy intake if not eaten in moderation.",https://pubmed.ncbi.nlm.nih.gov/34841598/,5,A clinical trial found that pecan consumption led to reduced insulin and glucose levels.,"1 portion (110 g) / serv

CHO = 2.64 g = 0.18 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872757/,5,Pecan consumption led to modestly decreased LDL (bad) cholesterol and increased HDL (good) cholesterol in one study.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872757/,5,Sodium per serv = 1.62 mg,5,1,Pecans contain moderate amounts of serotonin.,1,"Pecans contain a phenolic antioxidant compound called ellagic acid which supports gut bacteria, resulting in increased production of butyrate.",1,Pecan and other nuts may help support healthy bile production.,1,Nuts,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Almonds
Brazil Nut
Pistachio
Macadamia
Peanut","Breakfast
Snack",,,
